1	33.6135	-87.3737	0.1	10000000000.0	345	SUB1	T1	0
2	34.31042	-86.365805	1e-10	10000000000.0	345	SUB2	--	nan
3	34.31038	-86.365795	1e-10	10000000000.0	345	SUB2	--	nan
4	34.3104	-86.3658	0.1	0.4	345	SUB2	T3	0
5	34.3104	-86.36581	0.1	0.4	345	SUB2	T4	0
6	33.95512	-84.679405	1e-10	10000000000.0	500	SUB3	--	nan
7	33.95508	-84.679395	1e-10	10000000000.0	500	SUB3	--	nan
8	33.95511	-84.6794	1e-10	10000000000.0	500	SUB3	--	nan
9	33.9551	-84.6794	0.06	0.4	500	SUB3	T15	0
10	33.95511	-84.67941	1e-10	10000000000.0	500	SUB3	--	nan
11	33.9551	-84.67941	0.06	0.4	500	SUB3	T5	0
12	33.54792	-86.074605	1e-10	10000000000.0	500	SUB4	--	nan
13	33.54788	-86.074595	1e-10	10000000000.0	500	SUB4	--	nan
14	33.54791	-86.0746	1e-10	10000000000.0	500	SUB4	--	nan
15	33.5479	-86.0746	1e-10	4.0	500	SUB4	T2	0
16	33.54789	-86.0746	1e-10	10000000000.0	500	SUB4	--	nan
17	33.54791	-86.07461	1e-10	10000000000.0	500	SUB4	--	nan
18	33.5479	-86.07461	0.06	4.0	500	SUB4	T12	0
19	33.54791	-86.07462	1e-10	10000000000.0	500	SUB4	--	nan
20	33.5479	-86.07462	1e-10	4.0	500	SUB4	T13	0
21	33.54789	-86.07462	1e-10	10000000000.0	500	SUB4	--	nan
22	33.54791	-86.07463	1e-10	10000000000.0	500	SUB4	--	nan
23	33.5479	-86.07463	0.06	4.0	500	SUB4	T14	0
24	32.70512	-84.663405	1e-10	10000000000.0	500	SUB5	--	nan
25	32.70508	-84.663395	1e-10	10000000000.0	500	SUB5	--	nan
26	32.70511	-84.6634	1e-10	10000000000.0	500	SUB5	--	nan
27	32.7051	-84.6634	1e-10	0.2	500	SUB5	T8	0
28	32.70509	-84.6634	1e-10	10000000000.0	500	SUB5	--	nan
29	32.70511	-84.66341	1e-10	10000000000.0	500	SUB5	--	nan
30	32.7051	-84.66341	1e-10	0.2	500	SUB5	T9	0
31	32.70509	-84.66341	1e-10	10000000000.0	500	SUB5	--	nan
32	33.37732	-82.618805	1e-10	10000000000.0	500	SUB6	--	nan
33	33.37728	-82.618795	1e-10	10000000000.0	500	SUB6	--	nan
34	33.3773	-82.6188	0.15	0.2	500	SUB6	T6	0
35	33.3773	-82.61881	0.15	0.2	500	SUB6	T7	0
36	34.2522	-82.8363	1e-10	10000000000.0	500	SUB7	TT	nan
37	34.19562	-81.098005	1e-10	10000000000.0	500	SUB8	--	nan
38	34.19558	-81.097995	1e-10	10000000000.0	500	SUB8	--	nan
39	34.1956	-81.098	0.1	0.2	500	SUB8	T10	0
40	34.1956	-81.09801	0.1	0.2	500	SUB8	T11	0
4	2	1e-10	nan	nan	nan	nan	nan	nan
5	2	1e-10	nan	nan	nan	nan	nan	nan
6	8	1e-10	nan	nan	nan	nan	nan	nan
8	9	0.04	nan	nan	nan	nan	nan	nan
7	9	1e-10	nan	nan	nan	nan	nan	nan
6	10	1e-10	nan	nan	nan	nan	nan	nan
10	11	0.04	nan	nan	nan	nan	nan	nan
7	11	1e-10	nan	nan	nan	nan	nan	nan
12	14	1e-10	nan	nan	nan	nan	nan	nan
14	15	0.2	nan	nan	nan	nan	nan	nan
15	16	0.1	nan	nan	nan	nan	nan	nan
13	16	1e-10	nan	nan	nan	nan	nan	nan
12	17	1e-10	nan	nan	nan	nan	nan	nan
17	18	0.04	nan	nan	nan	nan	nan	nan
13	18	1e-10	nan	nan	nan	nan	nan	nan
12	19	1e-10	nan	nan	nan	nan	nan	nan
19	20	0.2	nan	nan	nan	nan	nan	nan
20	21	0.1	nan	nan	nan	nan	nan	nan
13	21	1e-10	nan	nan	nan	nan	nan	nan
12	22	1e-10	nan	nan	nan	nan	nan	nan
22	23	0.04	nan	nan	nan	nan	nan	nan
13	23	1e-10	nan	nan	nan	nan	nan	nan
24	26	1e-10	nan	nan	nan	nan	nan	nan
26	27	0.04	nan	nan	nan	nan	nan	nan
27	28	0.06	nan	nan	nan	nan	nan	nan
25	28	1e-10	nan	nan	nan	nan	nan	nan
24	29	1e-10	nan	nan	nan	nan	nan	nan
29	30	0.04	nan	nan	nan	nan	nan	nan
30	31	0.06	nan	nan	nan	nan	nan	nan
25	31	1e-10	nan	nan	nan	nan	nan	nan
34	32	1e-10	nan	nan	nan	nan	nan	nan
35	32	1e-10	nan	nan	nan	nan	nan	nan
39	37	1e-10	nan	nan	nan	nan	nan	nan
40	37	1e-10	nan	nan	nan	nan	nan	nan
1	13	3.512	33.6135	-87.3737	33.5479	-86.0746	nan	345
1	2	3.525	33.6135	-87.3737	34.3104	-86.3658	nan	345
2	7	4.665	34.3104	-86.3658	33.9551	-84.6794	nan	345
7	25	4.049	33.9551	-84.6794	32.7051	-84.6634	nan	345
2	25	6.94	34.3104	-86.3658	32.7051	-84.6634	nan	345
6	12	1.986	33.9551	-84.6794	33.5479	-86.0746	nan	500
12	24	1.1725	33.5479	-86.0746	32.7051	-84.6634	nan	500
24	32	2.975	32.7051	-84.6634	33.3773	-82.6188	nan	500
24	36	100000.0	32.7051	-84.6634	34.2522	-82.8363	nan	500
32	36	1.444	33.3773	-82.6188	34.2522	-82.8363	nan	500
12	32	4.666	33.5479	-86.0746	33.3773	-82.6188	nan	500
6	32	1.462	33.9551	-84.6794	33.3773	-82.6188	nan	500
36	37	2.324	34.2522	-82.8363	34.1956	-81.098	nan	500
